"Table S1: Posterior means, lower and upper limits of the credible interval (CI -, CI +) of the log of the mean number of recruits (a), the light effect",,,,,,,,,,,,
"(b), the clustering parameter of the binomial distribution (c), and the light level at which recruitment falls to 50% of recruitment at 20% light",,,,,,,,,,,,
"(Light50) for two census intervals (1985-1990, 1990-1995) and tree species in the 50-ha Forest Dynamics Plot at Barro Colorado Island, Panama.",,,,,,,,,,,,
Dashes indicate no recruitment in the respective census interval.,,,,,,,,,,,,
Species,,,,,,Parameters,,,,,,
,,,a,,,,,,b,,,
Capparis frondosa,-1.92,-1.98,-1.86,-2.31,-2.41,-2.22,0.24,0.02,0.45,-0.01,-0.34,0.35
Casearia aculeata,-2.36,-2.46,-2.27,-2.62,-2.75,-2.48,0.76,0.43,1.07,0.89,0.41,1.29
Casearia arborea,-3.34,-3.66,-3.07,-3.36,-3.66,-3.06,1.48,0.76,2.19,1.28,0.47,2.11
Casearia guianensis,-3.95,-4.55,-3.43,-3.95,-4.47,-3.44,0.03,-1.14,1.16,0.71,-0.4,1.97
Casearia sylvestris,-3.01,-3.23,-2.81,-3.18,-3.42,-2.93,1.05,0.42,1.7,0.3,-0.47,1.07
Cassipourea elliptica,-2.14,-2.22,-2.06,-2.34,-2.44,-2.25,0.57,0.28,0.85,0.5,0.16,0.87
Cavanillesia platanifolia,-4.2,-4.91,-3.57,-4.17,-4.9,-3.58,0.56,-0.79,1.71,0.72,-0.56,1.86
Cecropia insignis,-2.85,-3.04,-2.66,-2.49,-2.64,-2.36,2.94,2.4,3.46,2.16,1.65,2.69
Cecropia longipes,-,-,-,-4.21,-4.97,-3.64,-,-,-,1.31,0.11,2.52
Cecropia obtusifolia,-3.13,-3.36,-2.87,-3.03,-3.25,-2.82,2.11,1.48,2.87,1.79,1.26,2.35
Cedrela odorata,-3.44,-3.79,-3.13,-,-,-,0.46,-0.45,1.32,-,-,-
Ceiba pentandra,-3.53,-3.91,-3.2,-4.01,-4.6,-3.49,0.59,-0.42,1.56,1.42,0.21,2.5
Celtis schippii,-3.69,-4.07,-3.24,-4.18,-4.93,-3.54,0.07,-1.04,1.08,0.78,-0.43,1.97
Cespedesia spathulata,-4.18,-4.9,-3.6,-,-,-,0.14,-1.11,1.45,-,-,-
Cestrum megalophyllum,-2.74,-2.9,-2.59,-3.36,-3.7,-3.06,0.77,0.27,1.28,0.76,-0.05,1.61
Chamaedorea tepejilote,-3.69,-4.11,-3.26,-3.8,-4.29,-3.32,0.45,-0.5,1.53,0.86,-0.07,1.98
Chamguava schippii,-2.63,-2.77,-2.48,-2.59,-2.74,-2.45,1.77,1.32,2.2,1.51,1.04,2
Chrysochlamys eclipes,-3.07,-3.28,-2.87,-3.11,-3.34,-2.89,-0.12,-0.84,0.59,0.72,0,1.44
Chrysophyllum argenteum,-1.99,-2.06,-1.92,-2.37,-2.48,-2.28,0.84,0.6,1.07,1.03,0.67,1.35
Chrysophyllum cainito,-2.83,-3,-2.66,-2.85,-3.02,-2.68,1.23,0.71,1.71,1.3,0.74,1.81
